route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration,distance,route_type,error_description,test_code,test_error_description
458,38.74978962637444,-9.180428485375495,38.74978962637444,-9.13551292662595,1344.0,6.533,safest,,,
458,38.74978962637444,-9.180428485375495,38.74978962637444,-9.13551292662595,1132.1,5.65,balanced,,,
458,38.74978962637444,-9.180428485375495,38.74978962637444,-9.13551292662595,1140.5,5.616,shortest,,,
310,38.74080651462452,-9.189411597125408,38.70487406762487,-9.162462261875678,1620.8,7.154,safest,,,
310,38.74080651462452,-9.189411597125408,38.70487406762487,-9.162462261875678,1603.0,6.943,balanced,,,
310,38.74080651462452,-9.189411597125408,38.70487406762487,-9.162462261875678,1560.2,7.445,shortest,,,
217,38.70487406762487,-9.19390315300036,38.74080651462452,-9.166953817750631,1700.5,8.253,safest,,,
217,38.70487406762487,-9.19390315300036,38.74080651462452,-9.166953817750631,1442.7,6.964,balanced,,,
217,38.70487406762487,-9.19390315300036,38.74080651462452,-9.166953817750631,1442.7,6.964,shortest,,,
526,38.74978962637444,-9.175936929500542,38.776738961624176,-9.140004482500904,1239.0,6.094,safest,,,
526,38.74978962637444,-9.175936929500542,38.776738961624176,-9.140004482500904,1217.4,6.021,balanced,,,
526,38.74978962637444,-9.175936929500542,38.776738961624176,-9.140004482500904,1217.4,6.021,shortest,,,
665,38.74978962637444,-9.166953817750631,38.713857179374784,-9.140004482500904,1245.9,5.695,safest,,,
665,38.74978962637444,-9.166953817750631,38.713857179374784,-9.140004482500904,1124.6,5.318,balanced,,,
665,38.74978962637444,-9.166953817750631,38.713857179374784,-9.140004482500904,1175.1,5.571,shortest,,,
538,38.763264293999306,-9.175936929500542,38.72733184699965,-9.148987594250814,1154.7,5.763,safest,,,
538,38.763264293999306,-9.175936929500542,38.72733184699965,-9.148987594250814,1154.7,5.763,balanced,,,
538,38.763264293999306,-9.175936929500542,38.72733184699965,-9.148987594250814,1201.9,5.999,shortest,,,
732,38.74529807049948,-9.162462261875678,38.77224740574922,-9.12652981487604,1361.6,6.661,safest,,,
732,38.74529807049948,-9.162462261875678,38.77224740574922,-9.12652981487604,1361.6,6.661,balanced,,,
732,38.74529807049948,-9.162462261875678,38.77224740574922,-9.12652981487604,1361.6,6.661,shortest,,,
981,38.74978962637444,-9.14449603837586,38.74978962637444,-9.099580479626312,1490.8,7.201,safest,,,
981,38.74978962637444,-9.14449603837586,38.74978962637444,-9.099580479626312,1413.3,6.989,balanced,,,
981,38.74978962637444,-9.14449603837586,38.74978962637444,-9.099580479626312,1395.1,6.898,shortest,,,
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1334.9,6.545,safest,,,
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1211.1,5.912,balanced,,,
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1211.1,5.912,shortest,,,
143,38.74978962637444,-9.202886264750273,38.776738961624176,-9.166953817750631,1525.5,6.751,safest,,,
143,38.74978962637444,-9.202886264750273,38.776738961624176,-9.166953817750631,1525.5,6.751,balanced,,,
143,38.74978962637444,-9.202886264750273,38.776738961624176,-9.166953817750631,1525.5,6.751,shortest,,,
776,38.7228402911247,-9.157970706000723,38.74978962637444,-9.122038259001084,1269.7,6.317,safest,,,
776,38.7228402911247,-9.157970706000723,38.74978962637444,-9.122038259001084,1269.7,6.317,balanced,,,
776,38.7228402911247,-9.157970706000723,38.74978962637444,-9.122038259001084,1269.7,6.317,shortest,,,
1138,38.78123051749913,-9.12652981487604,38.74529807049948,-9.099580479626312,1335.8,6.634,safest,,,
1138,38.78123051749913,-9.12652981487604,38.74529807049948,-9.099580479626312,1373.8,6.761,balanced,,,
1138,38.78123051749913,-9.12652981487604,38.74529807049948,-9.099580479626312,1373.8,6.761,shortest,,,
832,38.70936562349983,-9.153479150125769,38.73631495874957,-9.11754670312613,1415.6,6.623,safest,,,
832,38.70936562349983,-9.153479150125769,38.73631495874957,-9.11754670312613,1384.3,6.476,balanced,,,
832,38.70936562349983,-9.153479150125769,38.73631495874957,-9.11754670312613,1371.7,6.377,shortest,,,
206,38.75877273812435,-9.198394708875316,38.75877273812435,-9.153479150125769,1194.6,5.219,safest,,,
206,38.75877273812435,-9.198394708875316,38.75877273812435,-9.153479150125769,1128.3,5.054,balanced,,,
206,38.75877273812435,-9.198394708875316,38.75877273812435,-9.153479150125769,1128.3,5.054,shortest,,,
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1605.0,7.696,safest,,,
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1430.7,6.846,balanced,,,
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1430.7,6.846,shortest,,,
1087,38.70936562349983,-9.131021370750997,38.75428118224939,-9.131021370750997,1601.1,7.777,safest,,,
1087,38.70936562349983,-9.131021370750997,38.75428118224939,-9.131021370750997,1517.7,7.163,balanced,,,
1087,38.70936562349983,-9.131021370750997,38.75428118224939,-9.131021370750997,1486.8,7.008,shortest,,,
847,38.73182340287461,-9.153479150125769,38.76775584987426,-9.12652981487604,1530.8,7.181,safest,,,
847,38.73182340287461,-9.153479150125769,38.76775584987426,-9.12652981487604,1440.1,6.975,balanced,,,
847,38.73182340287461,-9.153479150125769,38.76775584987426,-9.12652981487604,1441.4,6.987,shortest,,,
50,38.713857179374784,-9.21186937650018,38.713857179374784,-9.166953817750631,1542.7,6.508,safest,,,
50,38.713857179374784,-9.21186937650018,38.713857179374784,-9.166953817750631,1508.5,6.513,balanced,,,
50,38.713857179374784,-9.21186937650018,38.713857179374784,-9.166953817750631,1495.8,6.449,shortest,,,
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1250.6,5.938,safest,,,
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1232.8,5.727,balanced,,,
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1232.8,5.727,shortest,,,
590,38.74529807049948,-9.171445373625588,38.78123051749913,-9.14449603837586,1781.9,7.317,safest,,,
590,38.74529807049948,-9.171445373625588,38.78123051749913,-9.14449603837586,1793.8,7.48,balanced,,,
590,38.74529807049948,-9.171445373625588,38.78123051749913,-9.14449603837586,1788.7,7.454,shortest,,,
971,38.73631495874957,-9.14449603837586,38.78123051749913,-9.14449603837586,1407.4,6.73,safest,,,
971,38.73631495874957,-9.14449603837586,38.78123051749913,-9.14449603837586,1401.1,6.745,balanced,,,
971,38.73631495874957,-9.14449603837586,38.78123051749913,-9.14449603837586,1359.5,6.692,shortest,,,
